da,158760
i,79380
neun,52920
e,39690
eul,31752
ui,26460
ji,22680
lo,19845
ga,17640
go,15876
han,14432
ha,13230
gi,12212
eun,11340
seo,10584
leul,9922
dae,9338
sa,8820
do,8355
si,7938
hae,7560
su,7216
in,6902
ja,6615
iss,6350
eu,6106
jeong,5880
li,5670
jeon,5474
bu,5292
jang,5121
eo,4961
won,4810
il,4669
deul,4536
gwa,4410
a,4290
na,4177
sang,4070
haess,3969
man,3872
bo,3780
gug,3692
ju,3608
geu,3528
je,3451
seu,3377
ge,3307
wi,3240
gyeong,3175
jeog,3112
seong,3053
gu,2995
hoe,2940
la,2886
geos,2835
gong,2785
seon,2737
deung,2690
dong,2646
myeon,2602
ni,2560
so,2520
yeo,2480
mun,2442
gwan,2405
jung,2369
eob,2334
jin,2300
bi,2268
jo,2236
nae,2205
wa,2174
gae,2145
hwa,2116
sin,2088
gye,2061
u,2035
o,2009
an,1984
ma,1960
yu,1936
hal,1912
nyeon,1890
mo,1867
mu,1846
myeong,1824
haeng,1804
yeon,1783
tong,1764
chi,1744
yong,1725
se,1707
san,1688
sil,1671
dang,1653
eoss,1636
jae,1620
bal,1603
bang,1587
saeng,1571
geo,1556
mi,1541
gan,1526
geum,1512
teo,1497
dan,1483
doen,1470
yeong,1456
bun,1443
teu,1430
leo,1417
deu,1404
cha,1392
gyo,1380
hu,1368
doe,1356
che,1345
hag,1334
un,1323
ib,1312
nan,1301
yo,1290
myeo,1280
jeom,1270
lyeo,1260
wol,1250
min,1240
chul,1230
yeog,1221
ya,1211
hyeon,1202
ta,1193
sig,1184
choe,1176
ban,1167
de,1158
mul,1150
kka,1142
seub,1134
gang,1125
gam,1118
gyeol,1110
ye,1102
du,1094
eobs,1087
anh,1080
geon,1072
sog,1065
cheong,1058
pyo,1051
ba,1044
dal,1037
yang,1030
hi,1024
jig,1017
lyeog,1011
seol,1004
ttae,998
ho,992
gag,986
mae,980
sim,973
im,968
deon,962
jag,956
nam,950
seung,945
ul,939
bad,933
beon,928
leu,923
po,917
ol,912
chu,907
bul,902
eum,896
nal,891
gim,886
beob,882
peu,877
jong,872
ass,867
gwon,862
bon,858
deo,853
oe,848
dwaess,844
cheo,840
tu,835
hab,831
mal,826
seog,822
yag,818
bag,814
log,810
jeo,805
tta,801
geun,797
bae,793
